Designator,Value,Package,MidX,MidY,Rotation,Layer
"C1","10n","C_0603_1608Metric",143.490000,-66.650000,0.000000,top
"C2","4.7u","C_0805_2012Metric",145.520000,-73.290000,90.000000,top
"C3","100n","C_0402_1005Metric",145.460000,-75.640000,0.000000,top
"C4","100n","C_0402_1005Metric",144.990000,-78.860000,-90.000000,top
"D1","LED","LED_0805_2012Metric",132.000000,-69.110000,90.000000,top
"D2","LED","LED_0805_2012Metric",132.000000,-79.480000,-90.000000,top
"D3","LED","LED_0805_2012Metric",146.200000,-62.370000,90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10118194-0001LF_Horizontal",139.000000,-62.790000,180.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",135.190000,-87.400000,90.000000,top
"R1","1k","R_0402_1005Metric",132.000000,-71.810000,180.000000,top
"R2","1k","R_0402_1005Metric",132.000000,-76.780000,180.000000,top
"R3","1k","R_0402_1005Metric",146.200000,-66.640000,180.000000,top
"U1","FT232RL","28-LD-SSOP",139.000000,-74.500000,0.000000,top
